,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
13805,Round,1.00 ct.,D,VVS2,Super Ideal,GIA,63.0 %,57 %,Excellent,Excellent,Excellent,6.33x6.38x4 mm,1.01,Medium - Sl. Thick,None,None,D113573918,"$11,698"
13806,Round,1.00 ct.,D,VVS2,Super Ideal,GIA,59.7 %,60 %,Excellent,Excellent,Excellent,6.47x6.5x3.87 mm,1.00,Medium - Sl. Thick,None,None,D113626398,"$11,698"
13807,Round,1.00 ct.,D,VVS2,Super Ideal,GIA,61.3 %,60 %,Excellent,Excellent,Excellent,6.36x6.4x3.91 mm,1.01,Medium - Sl. Thick,None,None,D113651842,"$11,698"
13808,Round,1.00 ct.,D,VVS2,Super Ideal,GIA,59.9 %,60 %,Excellent,Excellent,Excellent,6.46x6.49x3.88 mm,1.00,Medium - Sl. Thick,None,None,D113683012,"$11,698"
13809,Round,1.00 ct.,D,VVS2,Super Ideal,GIA,62.4 %,58 %,Excellent,Excellent,Excellent,6.37x6.39x3.98 mm,1.00,Medium - Sl. Thick,None,None,D113709108,"$11,698"
13810,Round,1.51 ct.,G,VS2,Super Ideal,GIA,62.8 %,56 %,Excellent,Excellent,Excellent,7.25x7.30x4.57 mm,1.01,Medium - Sl. Thick,n/a,Medium,D113675253,"$11,699"
13811,Round,1.61 ct.,H,SI1,Super Ideal,GIA,62.6 %,58 %,Excellent,Excellent,Excellent,7.46x7.49x4.68 mm,1.00,Medium - Sl. Thick,None,Faint,D113849043,"$11,701"
13812,Round,2.29 ct.,K,SI2,Super Ideal,GIA,62.7 %,58 %,Excellent,Excellent,Excellent,8.37x8.42x5.26 mm,1.01,Thin - Sl. Thick,None,Faint,D113850956,"$11,708"
13813,Round,1.51 ct.,G,SI1,Excellent,GIA,59.5 %,61 %,Excellent,Excellent,Good,7.41x7.45x4.42 mm,1.01,n/a,n/a,None,D113726633,"$11,714"
13814,Round,2.01 ct.,K,VS1,Super Ideal,GIA,62.4 %,58 %,Excellent,Excellent,Excellent,8x8.04x5.01 mm,1.01,Medium - Sl. Thick,None,Strong,D113337597,"$11,715"
13815,Round,1.75 ct.,I,SI1,Super Ideal,GIA,62.4 %,58 %,Excellent,Excellent,Excellent,7.63 x 7.68 x 4.78 mm,1.01,n/a,None,None,D112153531,"$11,716"
13816,Round,1.01 ct.,D,VVS2,Super Ideal,GIA,61.5 %,59 %,Excellent,Excellent,Excellent,6.42x6.45x3.96 mm,1.00,n/a,None,None,D112975312,"$11,716"
13817,Round,2.03 ct.,J,SI2,Super Ideal,GIA,61.6 %,57 %,Excellent,Excellent,Excellent,8.08x8.1x4.99 mm,1.00,Sl. Thick,None,Faint,D113085865,"$11,716"
13818,Round,2.02 ct.,K,VS2,Ideal,GIA,62.0 %,56 %,Excellent,Excellent,Good,8.05x8.09x5.01 mm,1.00,n/a,n/a,Faint,D113305348,"$11,716"
13819,Round,2.00 ct.,K,VS2,Ideal,GIA,59.3 %,60 %,Excellent,Excellent,Excellent,8.16x8.20x4.85 mm,1.00,Sl. Thick,None,Faint,D113497335,"$11,720"
13820,Round,1.30 ct.,F,VVS1,Ideal,GIA,61.7 %,61 %,Excellent,Excellent,Excellent,6.91x6.96x4.28 mm,1.01,n/a,None,Faint,D113767641,"$11,721"
13821,Round,1.01 ct.,E,VVS1,Super Ideal,GIA,62.8 %,56 %,Excellent,Excellent,Excellent,6.37x6.39x4.01 mm,1.00,Medium - Sl. Thick,None,None,D113701644,"$11,724"
13822,Round,1.13 ct.,D,VS1,Super Ideal,GIA,61.7 %,59 %,Excellent,Excellent,Excellent,6.68x6.69x4.12 mm,1.00,Medium - Sl. Thick,None,None,D113626526,"$11,744"
13823,Round,1.21 ct.,F,VVS2,Super Ideal,GIA,60.3 %,60 %,Excellent,Excellent,Excellent,6.88x6.90x4.15 mm,1.00,Medium - Sl. Thick,None,None,D113849042,"$11,744"
13824,Round,1.20 ct.,E,VS1,Super Ideal,GIA,62.2 %,60 %,Excellent,Excellent,Excellent,6.77x6.81x4.22 mm,1.01,Medium - Sl. Thick,None,None,D113641498,"$11,747"
13825,Round,1.50 ct.,D,SI1,Super Ideal,GIA,62.7 %,55 %,Excellent,Excellent,Excellent,7.27x7.3x4.56 mm,1.00,n/a,None,Faint,D112894056,"$11,748"
13826,Round,1.01 ct.,D,VVS2,Super Ideal,GIA,62.6 %,58 %,Excellent,Excellent,Excellent,6.37x6.39x4 mm,1.00,Medium - Sl. Thick,None,None,D113406631,"$11,750"
13827,Round,1.00 ct.,E,VVS1,Super Ideal,GIA,62.0 %,60 %,Excellent,Excellent,Excellent,6.37x6.41x3.96 mm,1.01,Medium - Sl. Thick,None,None,D113673159,"$11,760"
13828,Round,1.15 ct.,F,IF,Super Ideal,GIA,62.6 %,57 %,Excellent,Excellent,Excellent,6.65x6.67x4.17 mm,1.00,Medium - Sl. Thick,None,None,D113710252,"$11,769"
13829,Round,1.20 ct.,D,VVS1,Super Ideal,GIA,62.7 %,57 %,Excellent,Excellent,Excellent,6.74x6.80x4.24 mm,1.01,n/a,None,Faint,D113573144,"$11,771"
13830,Round,1.02 ct.,D,VVS2,Super Ideal,GIA,60.8 %,57 %,Excellent,Excellent,Excellent,6.52x6.5x3.96 mm,1.00,Medium,None,None,D113248919,"$11,774"
13831,Round,1.50 ct.,I,VVS2,Super Ideal,GIA,62.7 %,57 %,Excellent,Excellent,Excellent,7.25x7.29x4.56 mm,1.01,Medium - Sl. Thick,None,None,D113701740,"$11,774"
13832,Round,1.37 ct.,G,IF,Super Ideal,GIA,62.4 %,57 %,Excellent,Excellent,Excellent,7.03x7.08x4.4 mm,1.01,n/a,None,Faint,D112808854,"$11,775"
13833,Round,2.01 ct.,K,VS1,Super Ideal,GIA,62.9 %,59 %,Excellent,Excellent,Excellent,8x8.05x5.05 mm,1.01,Medium - Sl. Thick,None,Strong,D113692093,"$11,779"
13834,Round,1.64 ct.,I,VS1,Super Ideal,GIA,62.9 %,56 %,Excellent,Excellent,Excellent,7.43x7.49x4.7 mm,1.01,n/a,None,Faint,D113276676,"$11,782"
13835,Round,1.00 ct.,D,IF,Very Good,GIA,58.6 %,61 %,Excellent,Very Good,Very Good,6.50x6.54x3.83 mm,1.01,Thin - Sl. Thick,None,None,D113540182,"$11,783"
13836,Round,1.70 ct.,E,SI1,Super Ideal,GIA,62.7 %,56 %,Excellent,Very Good,Excellent,7.56x7.63x4.77 mm,1.01,n/a,None,Medium,D112738678,"$11,789"
13837,Round,1.00 ct.,D,IF,Ideal,GIA,63.5 %,55 %,Excellent,Very Good,Excellent,6.31x6.38x4.02 mm,1.01,n/a,None,Medium,D112937064,"$11,810"
13838,Round,1.01 ct.,D,VVS2,Super Ideal,GIA,59.9 %,59 %,Excellent,Excellent,Excellent,6.52x6.56x3.92 mm,1.01,Medium - Sl. Thick,None,None,D113682989,"$11,813"
13839,Round,2.00 ct.,H,SI2,Super Ideal,GIA,63.2 %,57 %,Excellent,Excellent,Excellent,7.96x8.02x5.05 mm,1.01,Medium - Sl. Thick,None,None,D113687052,"$11,821"
13840,Round,1.50 ct.,D,SI1,Super Ideal,GIA,61.7 %,57 %,Excellent,Excellent,Excellent,7.32 x 7.37 x 4.53 mm,1.01,n/a,None,None,D113270657,"$11,830"
13841,Round,2.01 ct.,K,VS2,Super Ideal,GIA,62.1 %,60 %,Excellent,Excellent,Excellent,8.01x8.07x4.99 mm,1.01,Medium - Sl. Thick,None,Faint,D113321965,"$11,836"
13842,Round,1.25 ct.,E,VS1,Super Ideal,GIA,62.8 %,56 %,Excellent,Excellent,Excellent,6.84x6.86x4.3 mm,1.00,Medium - Sl. Thick,None,None,D113634822,"$11,845"
13843,Round,1.13 ct.,E,VVS2,Super Ideal,GIA,62.4 %,59 %,Excellent,Excellent,Excellent,6.58x6.62x4.12 mm,1.01,Medium - Sl. Thick,None,None,D113709185,"$11,845"
13844,Round,1.33 ct.,F,VS1,Super Ideal,GIA,62.7 %,58 %,Excellent,Excellent,Excellent,6.98x7.02x4.39 mm,1.01,n/a,None,None,D112847746,"$11,846"
