,Shape,Carat Weight,Color,Clarity,Cut,Certification,Depth %,Table %,Polish,Symmetry,Cut Grade,Measurements,Length to Width,Girdle,Culet,Fluorescence,Stock Number,Price
70,Round,0.23 ct.,E,IF,Super Ideal,GIA,62.4 %,57 %,Excellent,Excellent,Excellent,3.93x3.96x2.46 mm,1.01,n/a,None,Faint,D113752014,$629
71,Round,0.30 ct.,D,SI2,Super Ideal,GIA,61.9 %,57 %,Excellent,Very Good,Excellent,4.29x4.32x2.67 mm,1.01,n/a,None,None,D113107533,$630
72,Round,0.30 ct.,E,VS2,Very Good,GIA,64.5 %,56 %,Very Good,Very Good,Very Good,4.19x4.24x2.72 mm,1.01,Thin - Thick,None,None,D113616763,$630
73,Round,0.35 ct.,G,SI2,Super Ideal,GIA,60.7 %,60 %,Excellent,Excellent,Excellent,4.55x4.52x2.75 mm,1.01,Sl. Thick,None,None,D112185729,$632
74,Round,0.40 ct.,J,SI1,Super Ideal,GIA,63.0 %,55 %,Excellent,Excellent,Excellent,4.68x4.69x2.95 mm,1.00,n/a,n/a,Strong,D113039042,$632
75,Round,0.43 ct.,K,VS2,Super Ideal,GIA,62.4 %,57 %,Excellent,Excellent,Excellent,4.79x4.82x3 mm,1.01,n/a,n/a,Faint,D113648557,$632
76,Round,0.30 ct.,D,SI2,Excellent,GIA,59.4 %,61 %,Very Good,Excellent,Excellent,4.37x4.38x2.6 mm,1.00,Medium,None,Faint,D112839409,$633
77,Round,0.30 ct.,D,SI1,Super Ideal,GIA,62.1 %,59 %,Excellent,Excellent,Excellent,4.28x4.26x2.65 mm,1.00,n/a,None,Strong,D113238848,$633
78,Round,0.30 ct.,I,VVS1,Very Good,GIA,62.5 %,63 %,Excellent,Very Good,Very Good,4.18x4.23x2.63 mm,1.01,Thick,None,Medium,D113500054,$633
79,Round,0.30 ct.,I,VS1,Super Ideal,GIA,62.1 %,59 %,Excellent,Excellent,Excellent,4.29x4.3x2.67 mm,1.00,n/a,n/a,Faint,D113670531,$633
80,Round,0.40 ct.,H,SI2,Excellent,GIA,63.7 %,57 %,Very Good,Very Good,Very Good,4.63x4.65x2.95 mm,1.00,Sl. Thick,None,Faint,D112110963,$635
81,Round,0.23 ct.,D,VVS2,Super Ideal,GIA,63.0 %,57 %,Excellent,Excellent,Excellent,3.93x3.95x2.48 mm,1.01,Medium,None,None,D112701071,$635
82,Round,0.39 ct.,I,SI1,Super Ideal,GIA,62.6 %,57 %,Excellent,Excellent,Excellent,4.66x4.68x2.93 mm,1.00,n/a,None,Medium,D113278124,$635
83,Round,0.40 ct.,J,VS1,Super Ideal,GIA,62.9 %,55 %,Excellent,Excellent,Excellent,4.7x4.67x2.95 mm,1.01,Medium,None,None,D113609514,$635
84,Round,0.30 ct.,E,SI1,Ideal,GIA,59.3 %,59 %,Very Good,Excellent,Very Good,4.36x4.38x2.59 mm,1.00,Medium - Sl. Thick,None,None,D113847759,$635
85,Round,0.41 ct.,J,SI2,Super Ideal,GIA,59.9 %,58 %,Excellent,Excellent,Excellent,4.84x4.86x2.91 mm,1.00,n/a,n/a,Medium,D113232340,$636
86,Round,0.30 ct.,I,VS2,Super Ideal,GIA,60.9 %,59 %,Excellent,Excellent,Excellent,4.31 x 4.35 x 2.63 mm,1.01,n/a,None,None,D113839097,$636
87,Round,0.38 ct.,I,SI2,Very Good,GIA,64.0 %,58 %,Very Good,Good,Good,4.55x4.57x2.92 mm,1.00,Thin - Sl. Thick,None,None,D112885851,$637
88,Round,0.35 ct.,F,SI2,Super Ideal,GIA,62.9 %,57 %,Excellent,Excellent,Very Good,4.51x4.49x2.83 mm,1.00,V. Thin - Sl. Thick,None,None,D113567601,$637
89,Round,0.30 ct.,I,VS2,Super Ideal,GIA,62.5 %,58 %,Excellent,Excellent,Excellent,4.28x4.29x2.68 mm,1.00,Medium - Sl. Thick,None,None,D113787265,$637
90,Round,0.32 ct.,G,SI1,Very Good,GIA,64.7 %,56 %,Very Good,Very Good,Good,4.28x4.24x2.76 mm,1.01,Thick,None,None,D112110297,$639
91,Round,0.36 ct.,I,VS1,Excellent,GIA,64.5 %,57 %,Excellent,Very Good,Very Good,4.4x4.44x2.85 mm,1.01,Sl. Thick - Thick,None,Medium,D113566421,$639
92,Round,0.30 ct.,E,VS2,Excellent,GIA,63.6 %,58 %,Excellent,Very Good,Very Good,4.15x4.21x2.66 mm,1.01,Sl. Thick - Thick,None,None,D113693979,$639
93,Round,0.23 ct.,D,VVS1,Super Ideal,GIA,61.8 %,59 %,Excellent,Excellent,Excellent,3.91x3.94x2.43 mm,1.01,n/a,None,None,D112883364,$640
94,Round,0.31 ct.,H,VVS2,Super Ideal,GIA,62.6 %,59 %,Excellent,Excellent,Very Good,4.32x4.3x2.7 mm,1.00,Sl. Thick,n/a,Faint,D113413046,$640
95,Round,0.30 ct.,G,VS2,Super Ideal,GIA,61.5 %,55 %,Very Good,Excellent,Excellent,4.34x4.36x2.67 mm,1.00,Medium - Sl. Thick,None,None,D113632592,$640
96,Round,0.45 ct.,K,SI1,Super Ideal,GIA,62.6 %,58 %,Very Good,Excellent,Excellent,4.88x4.91x3.06 mm,1.01,Sl. Thick,None,None,D112029116,$642
97,Round,0.33 ct.,J,VVS2,Super Ideal,GIA,61.5 %,55 %,Excellent,Excellent,Excellent,4.48x4.44x2.74 mm,1.01,n/a,None,None,D112317682,$642
98,Round,0.45 ct.,J,SI2,Super Ideal,GIA,62.5 %,57 %,Excellent,Excellent,Excellent,4.89x3.05x4.86 mm,1.60,n/a,n/a,Faint,D113394101,$642
99,Round,0.30 ct.,E,VS2,Super Ideal,GIA,62.6 %,57 %,Excellent,Excellent,Excellent,4.26x4.29x2.68 mm,1.01,Medium - Sl. Thick,None,Faint,D113595606,$642
100,Round,0.37 ct.,I,VS1,Very Good,GIA,64.7 %,58 %,Very Good,Very Good,Good,4.43x4.39x2.85 mm,1.01,Sl. Thick - V. Thick,None,Strong,D111993593,$643
101,Round,0.40 ct.,K,VS2,Ideal,GIA,63.3 %,56 %,Excellent,Very Good,Very Good,4.65x4.7x2.96 mm,1.01,n/a,None,Faint,D113210309,$643
102,Round,0.30 ct.,E,SI1,Super Ideal,GIA,61.6 %,57 %,Excellent,Excellent,Excellent,4.30x4.32x2.66 mm,1.00,Thin - Sl. Thick,n/a,Medium,D113661760,$643
103,Round,0.36 ct.,I,VVS2,Very Good,GIA,64.2 %,57 %,Very Good,Very Good,Very Good,4.45x4.41x2.85 mm,1.01,Sl. Thick - Thick,None,Strong,D111984927,$644
104,Round,0.35 ct.,K,VVS1,Super Ideal,GIA,61.8 %,60 %,Excellent,Excellent,Excellent,4.51x4.48x2.78 mm,1.01,n/a,None,Faint,D112321244,$644
105,Round,0.23 ct.,D,VVS1,Super Ideal,GIA,62.7 %,56 %,Excellent,Excellent,Excellent,3.9x3.92x2.45 mm,1.01,Thin - Sl. Thick,None,None,D112883379,$644
106,Round,0.30 ct.,D,VS2,Excellent,GIA,64.2 %,57 %,Excellent,Excellent,Very Good,4.21 x 4.23 x 2.71 mm,1.00,n/a,None,None,D113345441,$644
107,Round,0.30 ct.,D,VS2,Ideal,GIA,60.0 %,61 %,Excellent,Excellent,Very Good,4.30 x 4.33 x 2.59 mm,1.01,n/a,None,None,D113438549,$644
108,Round,0.30 ct.,G,VS2,Super Ideal,GIA,59.5 %,59 %,Excellent,Very Good,Excellent,4.34x4.38x2.59 mm,1.01,Medium - Sl. Thick,None,None,D113519340,$644
109,Round,0.30 ct.,F,SI1,Super Ideal,GIA,62.9 %,56 %,Excellent,Excellent,Excellent,4.28x4.29x2.69 mm,1.00,n/a,None,None,D113588209,$644
110,Round,0.31 ct.,D,VS1,Excellent,GIA,64.3 %,58 %,Excellent,Very Good,Very Good,4.2x4.24x2.71 mm,1.01,n/a,n/a,Strong,D113648677,$644
111,Round,0.30 ct.,E,SI2,Super Ideal,GIA,60.3 %,60 %,Excellent,Excellent,Excellent,4.32x4.28x2.59 mm,1.01,Sl. Thick,None,Faint,D113678009,$644
