Carat Weight,Color,Clarity,Cut,Depth %,Table %,Polish,Symmetry,Cut Grade,Length to Width,Culet,Fluorescence,Price
0.38,7,5,5,58.9,64.0,2,3,2,1.0,1,0,628
0.35,1,8,4,64.2,57.0,2,2,2,1.0,1,2,628
0.35,6,4,4,64.1,59.0,2,2,2,1.01,1,3,629
0.3,2,8,1,60.0,58.0,2,1,1,1.0,1,0,629
0.35,7,4,1,61.4,60.0,1,1,1,1.01,1,0,629
0.27,3,6,2,61.6,59.0,1,1,3,1.0,0,0,629
0.31,5,3,1,61.9,58.0,1,1,1,1.0,1,1,629
0.23,2,3,1,60.4,57.0,1,1,1,1.01,0,1,629
0.23,2,2,1,62.4,57.0,1,1,1,1.01,1,1,629
0.35,6,4,4,64.1,59.0,2,2,2,1.01,1,3,629
0.35,7,4,1,61.4,60.0,1,1,1,1.01,1,0,629
0.31,5,3,1,61.9,58.0,1,1,1,1.0,1,1,629
0.23,2,2,1,62.4,57.0,1,1,1,1.01,1,1,629
0.37,7,7,1,62.6,57.0,1,1,1,1.01,1,0,630
0.3,1,8,1,61.9,57.0,1,2,1,1.01,1,0,630
0.3,2,6,4,64.5,56.0,2,2,2,1.01,1,0,630
0.3,2,6,4,64.5,56.0,2,2,2,1.01,1,0,630
0.33,1,8,3,63.9,57.0,2,2,2,1.0,1,1,630
0.3,1,8,1,61.9,57.0,1,2,1,1.01,1,0,630
0.43,8,6,1,62.4,57.0,1,1,1,1.01,0,1,632
0.4,7,7,1,63.0,55.0,1,1,1,1.0,0,3,632
0.4,6,8,2,63.1,57.0,2,1,1,1.01,1,0,632
0.35,4,8,1,60.7,60.0,1,1,1,1.01,1,0,632
0.46,8,8,3,63.8,56.0,1,2,2,1.0,1,0,632
0.4,7,8,4,64.7,59.0,1,2,2,1.01,1,0,632
0.35,4,8,1,60.7,60.0,1,1,1,1.01,1,0,632
0.4,7,7,1,63.0,55.0,1,1,1,1.0,0,3,632
0.43,8,6,1,62.4,57.0,1,1,1,1.01,0,1,632
0.34,7,5,1,62.6,55.0,1,1,1,1.0,1,1,633
0.31,3,8,1,61.9,58.0,1,1,1,1.01,1,0,633
0.3,1,8,3,59.4,61.0,2,1,1,1.0,1,1,633
0.34,4,8,1,62.8,57.0,1,1,1,1.01,1,0,633
0.3,6,3,4,62.5,63.0,1,2,2,1.01,1,2,633
0.3,1,8,3,59.4,61.0,2,1,1,1.0,1,1,633
0.3,1,7,1,62.1,59.0,1,1,1,1.0,1,3,633
0.3,6,3,4,62.5,63.0,1,2,2,1.01,1,2,633
0.3,1,7,1,62.1,59.0,1,1,1,1.0,1,3,633
0.3,6,5,1,62.1,59.0,1,1,1,1.0,0,1,633
0.3,6,5,1,62.1,59.0,1,1,1,1.0,0,1,633
0.3,2,8,4,58.9,62.0,1,2,2,1.01,1,0,633
0.4,5,8,3,63.7,57.0,2,2,2,1.0,1,1,635
0.4,8,6,3,64.1,58.0,1,1,2,1.01,1,0,635
0.23,1,4,1,63.0,57.0,1,1,1,1.01,1,0,635
0.4,7,8,2,62.4,61.0,1,1,1,1.01,0,1,635
0.39,6,7,1,62.6,57.0,1,1,1,1.0,1,2,635
0.27,2,6,1,61.6,55.0,1,1,1,1.0,1,0,635
0.4,7,5,1,62.9,55.0,1,1,1,1.01,1,0,635
0.3,4,7,1,61.5,58.0,1,1,1,1.01,1,0,635
0.3,2,7,2,59.3,59.0,2,1,2,1.0,1,0,635
0.23,1,4,1,63.0,57.0,1,1,1,1.01,1,0,635
0.39,6,7,1,62.6,57.0,1,1,1,1.0,1,2,635
0.4,5,8,3,63.7,57.0,2,2,2,1.0,1,1,635
0.4,7,5,1,62.9,55.0,1,1,1,1.01,1,0,635
0.3,2,7,2,59.3,59.0,2,1,2,1.0,1,0,635
0.3,6,6,1,60.9,59.0,1,1,1,1.01,1,0,636
0.41,7,8,1,59.9,58.0,1,1,1,1.0,0,2,636
0.41,8,3,4,65.2,60.0,1,2,3,1.01,1,1,636
0.41,7,8,1,59.9,58.0,1,1,1,1.0,0,2,636
0.3,3,4,3,62.7,60.0,2,3,2,1.02,1,0,636
0.3,6,6,1,60.9,59.0,1,1,1,1.01,1,0,636
0.38,6,8,4,64.0,58.0,2,3,3,1.0,1,0,637
0.35,3,8,1,62.9,57.0,1,1,2,1.0,1,0,637
0.3,6,6,1,62.5,58.0,1,1,1,1.0,1,0,637
0.3,5,5,2,63.8,57.0,1,1,2,1.0,1,0,637
0.38,6,8,4,64.0,58.0,2,3,3,1.0,1,0,637
0.46,7,8,2,61.5,59.0,2,2,2,1.01,1,1,637
0.35,3,8,1,62.9,57.0,1,1,2,1.0,1,0,637
0.3,2,5,3,63.4,54.0,1,3,2,1.01,1,0,637
0.3,6,6,1,62.5,58.0,1,1,1,1.0,1,0,637
0.3,4,7,1,62.7,59.0,1,1,2,1.0,1,0,637
0.32,4,7,4,64.7,56.0,2,2,3,1.01,1,0,639
0.36,6,5,3,64.5,57.0,1,2,2,1.01,1,2,639
0.3,2,6,3,63.6,58.0,1,2,2,1.01,1,0,639
0.3,2,6,3,63.6,58.0,1,2,2,1.01,1,0,639
0.36,6,5,3,64.5,57.0,1,2,2,1.01,1,2,639
0.32,4,7,4,64.7,56.0,2,2,3,1.01,1,0,639
0.32,4,7,1,61.7,60.0,1,1,1,1.62,1,2,639
0.3,1,6,1,62.0,57.0,1,1,2,1.0,1,0,639
0.3,4,6,2,62.4,54.0,2,2,1,1.01,0,0,640
0.23,1,3,1,62.8,58.0,1,1,1,1.01,1,0,640
0.31,5,4,1,62.6,59.0,1,1,2,1.0,0,1,640
0.4,5,8,4,66.4,57.0,1,2,3,1.01,1,1,640
0.3,4,6,1,61.5,55.0,2,1,1,1.0,1,0,640
0.23,1,3,1,61.8,59.0,1,1,1,1.01,1,0,640
0.3,4,6,1,61.5,55.0,2,1,1,1.0,1,0,640
0.23,1,3,1,61.8,59.0,1,1,1,1.01,1,0,640
0.31,5,4,1,62.6,59.0,1,1,2,1.0,0,1,640
0.33,7,4,1,61.5,55.0,1,1,1,1.01,1,0,642
0.45,8,7,1,62.6,58.0,2,1,1,1.01,1,0,642
0.23,1,3,1,60.0,60.0,1,1,1,1.0,0,0,642
0.45,7,8,1,62.5,57.0,1,1,1,1.6,0,1,642
0.33,2,8,1,61.4,60.0,1,1,1,1.0,1,1,642
0.45,7,8,1,62.5,57.0,1,1,1,1.6,0,1,642
0.3,3,7,4,59.5,65.0,1,2,2,1.02,1,0,642
0.33,7,4,1,61.5,55.0,1,1,1,1.01,1,0,642
0.4,8,5,4,65.6,58.0,2,2,3,1.01,1,0,642
0.45,8,7,1,62.6,58.0,2,1,1,1.01,1,0,642
0.3,2,6,1,62.6,57.0,1,1,1,1.01,1,1,642
0.3,2,6,1,62.6,57.0,1,1,1,1.01,1,1,642
0.23,1,4,1,60.1,60.0,1,1,1,1.0,1,0,643
