,Shape,Price,Carat,Color,Clarity,Polish,Symmetry,Fluorescence,Depth,Table,L/W,Price/Ct,Culet,Stock No.,Delivery Date,Cut
1685,Cushion,$912,0.50,H,VS2,Excellent,Very Good,Faint,66.8,62.0,1.01,"$1,824",None,LD15732517,Apr 19,Very Good
1686,Princess,$914,0.50,H,SI1,Very Good,Good,None,80.0,80.0,1.05,"$1,828",None,LD13533915,Apr 19,Good
1687,Princess,$915,0.42,D,VVS2,Good,Good,None,76.4,82.0,1.03,"$2,179",None,LD07272036,Apr 19,Good
1688,Princess,$918,0.46,E,VS2,Very Good,Very Good,None,75.9,73.0,1.01,"$1,996",None,LD14044860,Apr 19,Good
1689,Princess,$919,0.45,F,VVS1,Excellent,Very Good,None,73.0,72.0,1.02,"$2,042",None,LD15325195,Apr 19,Very Good
1690,Princess,$921,0.56,I,VVS2,Good,Very Good,None,74.5,81.0,1.11,"$1,645",None,LD07272056,Apr 19,Good
1691,Cushion,$921,0.53,J,VVS1,Excellent,Excellent,None,67.6,62.0,1.01,"$1,738",None,LD14548833,Apr 19,Very Good
1692,Cushion,$921,0.53,I,VS1,Excellent,Very Good,None,67.7,59.0,1.21,"$1,738",None,LD15751055,Apr 19,Very Good
1693,Princess,$926,0.52,H,VS2,Good,Good,None,77.5,77.0,1.01,"$1,781",None,LD13242682,Apr 19,Good
1694,Cushion,$930,0.51,I,VVS1,Excellent,Very Good,None,67.5,60.0,1.09,"$1,824",None,LD15619084,Apr 19,Very Good
1695,Radiant,$945,0.50,I,SI1,Excellent,Very Good,Faint,60.5,67.0,1.30,"$1,890",None,LD15469009,Apr 19,Very Good
1696,Princess,$945,0.50,E,SI1,Very Good,Very Good,None,75.2,75.0,1.01,"$1,890",None,LD15665499,Apr 19,Good
1697,Cushion,$953,0.70,K,SI1,Excellent,Very Good,None,69.7,60.0,1.17,"$1,361",None,LD15123644,Apr 19,Good
1698,Princess,$953,0.50,H,SI1,Very Good,Good,None,72.0,73.0,1.00,"$1,906",None,LD15644173,Apr 19,Very Good
1699,Princess,$954,0.48,F,VS1,Very Good,Very Good,None,69.0,73.0,1.10,"$1,988",None,LD09288771,Apr 19,Very Good
1700,Princess,$955,0.55,I,VS2,Very Good,Very Good,None,73.2,78.0,1.05,"$1,736",None,LD15722545,Apr 19,Good
1701,Cushion,$956,0.50,H,VS1,Excellent,Very Good,None,67.6,62.0,1.10,"$1,912",None,LD15619080,Apr 19,Very Good
1702,Radiant,$961,0.53,E,SI2,Very Good,Good,Faint,75.7,65.0,1.20,"$1,813",None,LD13534780,Apr 19,Good
1703,Radiant,$961,0.53,I,VVS1,Excellent,Excellent,None,67.9,65.0,1.31,"$1,813",None,LD15613367,Apr 19,Very Good
1704,Cushion,$963,0.52,I,VVS1,Excellent,Very Good,None,67.6,59.0,1.08,"$1,852",None,LD15619085,Apr 19,Very Good
1705,Princess,$972,0.42,E,VVS1,Very Good,Good,None,69.2,73.0,1.03,"$2,314",None,LD15325197,Apr 19,Very Good
1706,Cushion,$978,0.53,H,VVS2,Excellent,Excellent,None,66.4,61.0,1.00,"$1,845",None,LD15732410,Apr 19,Very Good
1707,Princess,$980,0.41,D,VVS1,Very Good,Good,None,65.4,81.0,1.03,"$2,390",None,LD08146726,Apr 19,Good
1708,Cushion,$982,0.50,H,VS2,Excellent,Very Good,None,68.3,61.0,1.06,"$1,964",None,LD15655632,Apr 19,Very Good
1709,Radiant,$985,0.50,H,IF,Very Good,Very Good,None,68.5,67.0,1.34,"$1,970",None,LD13077925,Apr 19,Very Good
1710,Radiant,$985,0.50,H,IF,Excellent,Excellent,None,68.8,67.0,1.38,"$1,970",None,LD14624410,Apr 19,Very Good
1711,Radiant,$988,0.52,I,VS1,Good,Good,None,69.7,73.0,1.04,"$1,900",None,LD09564358,Apr 19,Very Good
1712,Cushion,$997,0.52,J,VVS1,Excellent,Very Good,None,66.7,59.0,1.01,"$1,917",None,LD13130615,Apr 19,Very Good
1713,Princess,$998,0.56,E,SI2,Very Good,Very Good,None,74.0,75.0,1.04,"$1,782",None,LD13242661,Apr 19,Very Good
1714,Cushion,$999,0.50,G,VS2,Very Good,Very Good,Faint,67.5,61.0,1.08,"$1,998",None,LD15751090,Apr 19,Very Good
1715,Princess,"$1,000",0.40,D,VVS1,Excellent,Very Good,None,72.4,71.0,1.01,"$2,500",None,LD15289607,Apr 19,Very Good
1716,Cushion,$921,0.55,E,SI1,Excellent,Excellent,Faint,67.1,59.0,1.01,"$1,675",None,LD15523438,Apr 20,Very Good
1717,Cushion,$931,0.50,D,VS2,Very Good,Good,None,68.9,58.0,1.15,"$1,862",None,LD15523472,Apr 20,Very Good
1718,Cushion,$945,0.74,K,SI1,Excellent,Very Good,None,68.3,60.0,1.04,"$1,277",None,LD15135754,Apr 20,Very Good
1719,Princess,$947,0.53,F,SI1,Excellent,Excellent,None,72.5,69.0,1.01,"$1,787",None,LD15523419,Apr 20,Very Good
1720,Princess,$975,0.50,I,IF,Excellent,Excellent,None,73.5,73.0,1.02,"$1,950",None,LD14084875,Apr 20,Very Good
1721,Princess,$903,0.40,G,VS1,Excellent,Very Good,None,64.8,70.0,1.01,"$2,258",None,LD06460014,Apr 21,Very Good
